"event_id","event_name","event_time","event_venue_lat","event_venue_lon","venue_name","venue_city"
"12878858","UCSD TANGO FEST",1269651600000,32.886795,-117.240387,"UCSD Rimac","Gilman"
"41280372","BigDataCamp Silicon Valley @Strata 2012",1330392600000,37.402756,-121.978905,"Santa Clara Convention Center","Santa Clara"
"85444922","SV Android Developers cohosting with ARM® TechCon™",1351643400000,37.402756,-121.978905,"Santa Clara Convention Center","Santa Clara"
"57272992","TiEcon 2012 -Connect Innovate Prosper",1337351400000,37.402756,-121.978905,"Santa Clara Convention Center","Santa Clara"
"8278244","Psychic &Mediumship Development Circle with John Deveraux",1.217556e+12,37.56679,-122.3238,"Sacred Paths Bookstore","San Mateo"
"8273368","Sacred Paths Bookstore Psychic Fair",1217095200000,37.56679,-122.3238,"Sacred Paths Bookstore","San Mateo"
"qskdnypfbfb","Silicon Valley Startup Funding Group Monthly Meetup",1299207600000,37.432373,-121.899483,"DENNYS 333 S. Abbott Ave","Milpitas"
"qskdnyqfbcb","Silicon Valley Startup Funding Group Monthly Meetup",1330657200000,37.432373,-121.899483,"DENNYS 333 S. Abbott Ave","Milpitas"
"dxjwbcyqpbtb","Silicon Valley Entrepreneur Meetup",1353034800000,37.432373,-121.899483,"DENNYS 333 S. Abbott Ave","Milpitas"
"qskdnyppbfb","Silicon Valley Startup Funding Group Monthly Meetup",1.320372e+12,37.432373,-121.899483,"DENNYS 333 S. Abbott Ave","Milpitas"
"qhfdnypcbbc","The Silicon Valley Entrepreneur Meetup Group Monthly Meetup",1295578800000,37.432373,-121.899483,"DENNYS 333 S. Abbott Ave","Milpitas"
"dxjwbcyrdbcc","Silicon Valley Entrepreneur Meetup",1.361502e+12,37.432373,-121.899483,"DENNYS 333 S. Abbott Ave","Milpitas"
"dxjwbcyrcbwb","Silicon Valley Entrepreneur Meetup",1359082800000,37.432373,-121.899483,"DENNYS 333 S. Abbott Ave","Milpitas"
"qhfdnynqbvb","The Silicon Valley Entrepreneur Meetup Group Monthly Meetup",1292554800000,37.432373,-121.899483,"DENNYS 333 S. Abbott Ave","Milpitas"
"dxjwbcyqqbbc","Silicon Valley Entrepreneur Meetup",1356058800000,37.432373,-121.899483,"DENNYS 333 S. Abbott Ave","Milpitas"
"dxjwbcyqcbzb","Silicon Valley Entrepreneur Meetup",1327028400000,37.432373,-121.899483,"DENNYS 333 S. Abbott Ave","Milpitas"
"qskdnynlbhb","Silicon Valley Startup Funding Group Monthly Meetup",1.28106e+12,37.432373,-121.899483,"DENNYS 333 S. Abbott Ave","Milpitas"
"qskdnyqcbhb","Silicon Valley Startup Funding Group Monthly Meetup",1325818800000,37.432373,-121.899483,"DENNYS 333 S. Abbott Ave","Milpitas"
"qskdnynqbdb","Silicon Valley Startup Funding Group Monthly Meetup",1291345200000,37.432373,-121.899483,"DENNYS 333 S. Abbott Ave","Milpitas"
"5905635","Summer Party at Matrix Fillmore",1185501600000,37.79867,-122.43581,"MatrixFillmore","San Francisco"
"6092237","NEW YEARS PARTY AT MATRIX FILLMORE!",1199163600000,37.79867,-122.43581,"MatrixFillmore","San Francisco"
"5393807","Valentine's Day at Medjool in the Mission",1171504800000,37.756451,-122.418869,"Medjool","San Francisco"
"48384652","It's GDC Party Time! IGDA party organized by the SV IGDA",1331085600000,37.77805,-122.40568,"1015","San Francisco"
"65868662","Bay Area Beagles July Meetup #2 Union City",1342983600000,37.602219,-122.015678,"Drigon Dog Park","Union City"
"30150681","Bay Area Beagles October Meetup #2 Union City",1320001200000,37.602219,-122.015678,"Drigon Dog Park","Union City"
"43357432","Bay Area Beagles February Meetup # 2 - Castro Valley",1329681600000,37.69745,-122.05468,"Castro Valley Dog Park/Earl Warren Park","Castro Valley"
"17251926","Bay Area Beagles June Meetup #2 Castro Valley",1.30851e+12,37.69745,-122.05468,"Castro Valley Dog Park/Earl Warren Park","Castro Valley"
"16477113","Walk While you Talk",1307905200000,37.897831,-122.323402,"Point Isabel Regional Shoreline","Richmond"
"17064537","HTML5 and Browsers: Community Night",1303862400000,37.41317,-122.071236,"Microsoft Campus, Bldg 1","Mountain View"
"56212742","HTML5 Community Night",1334102400000,37.41317,-122.071236,"Microsoft Campus, Bldg 1","Mountain View"
"11432565","October Bayjax @ Yahoo",1254963600000,37.414843,-122.024914,"Yahoo!","Sunnyvale"
"16564259","""Open Mic"" night Bayjax",1301362200000,37.414843,-122.024914,"Yahoo!","Sunnyvale"
